# One UI drawable parity map
# reference drawable | representation | Compose mapping | status
ic_oui_360|resource|OneUiDrawableCatalog.entries[name=ic_oui_360]|mapped
ic_oui_accessibility|resource|OneUiDrawableCatalog.entries[name=ic_oui_accessibility]|mapped
ic_oui_accessibility_2|resource|OneUiDrawableCatalog.entries[name=ic_oui_accessibility_2]|mapped
ic_oui_accounts_backup|resource|OneUiDrawableCatalog.entries[name=ic_oui_accounts_backup]|mapped
ic_oui_action_run_a_quick_command|resource|OneUiDrawableCatalog.entries[name=ic_oui_action_run_a_quick_command]|mapped
ic_oui_action_video_enhancer|resource|OneUiDrawableCatalog.entries[name=ic_oui_action_video_enhancer]|mapped
ic_oui_add|resource|OneUiDrawableCatalog.entries[name=ic_oui_add]|mapped
ic_oui_add_filled|resource|OneUiDrawableCatalog.entries[name=ic_oui_add_filled]|mapped
ic_oui_add_home|resource|OneUiDrawableCatalog.entries[name=ic_oui_add_home]|mapped
ic_oui_add_pdf|resource|OneUiDrawableCatalog.entries[name=ic_oui_add_pdf]|mapped
ic_oui_add_pdf_new|resource|OneUiDrawableCatalog.entries[name=ic_oui_add_pdf_new]|mapped
ic_oui_admob|resource|OneUiDrawableCatalog.entries[name=ic_oui_admob]|mapped
ic_oui_advanced_call|resource|OneUiDrawableCatalog.entries[name=ic_oui_advanced_call]|mapped
ic_oui_advanced_call_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_advanced_call_outline]|mapped
ic_oui_air_action|resource|OneUiDrawableCatalog.entries[name=ic_oui_air_action]|mapped
ic_oui_airplane_mode|resource|OneUiDrawableCatalog.entries[name=ic_oui_airplane_mode]|mapped
ic_oui_alarm|resource|OneUiDrawableCatalog.entries[name=ic_oui_alarm]|mapped
ic_oui_alarm_dismissed|resource|OneUiDrawableCatalog.entries[name=ic_oui_alarm_dismissed]|mapped
ic_oui_alarm_off|resource|OneUiDrawableCatalog.entries[name=ic_oui_alarm_off]|mapped
ic_oui_alarm_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_alarm_outline]|mapped
ic_oui_alarm_snooze|resource|OneUiDrawableCatalog.entries[name=ic_oui_alarm_snooze]|mapped
ic_oui_all_apps|resource|OneUiDrawableCatalog.entries[name=ic_oui_all_apps]|mapped
ic_oui_always_get_key_notifications|resource|OneUiDrawableCatalog.entries[name=ic_oui_always_get_key_notifications]|mapped
ic_oui_alwaysask|resource|OneUiDrawableCatalog.entries[name=ic_oui_alwaysask]|mapped
ic_oui_alwys_on_display|resource|OneUiDrawableCatalog.entries[name=ic_oui_alwys_on_display]|mapped
ic_oui_amplify_sound|resource|OneUiDrawableCatalog.entries[name=ic_oui_amplify_sound]|mapped
ic_oui_analyze_storage|resource|OneUiDrawableCatalog.entries[name=ic_oui_analyze_storage]|mapped
ic_oui_android|resource|OneUiDrawableCatalog.entries[name=ic_oui_android]|mapped
